window,state_family,state,seed,observations,ann_mean_daily_return,mps_mean_daily_return,mps_minus_ann_mean_daily_return,mps_minus_ann_annualized_mean_return,ann_annualized_downside_deviation,mps_annualized_downside_deviation,mps_minus_ann_downside_deviation
2017-2018,benchmark_return_tail,bottom_decile,2,51,-0.014706529618335951,-0.01611930582058865,-0.0014127762022527021,-0.3560196029676809,0.2796644302873069,0.30606698591794873,0.02640255563064181
2017-2018,benchmark_return_tail,bottom_decile,3,51,-0.015141170579955267,-0.01445677748077328,0.0006843930991819881,0.172467060993861,0.2996932852254562,0.2910066439373336,-0.008686641288122576
2017-2018,benchmark_return_tail,bottom_decile,4,51,-0.019030282262710675,-0.01449889856297795,0.004531383699732726,1.141908692332647,0.3504355014296896,0.306655285941214,-0.043780215488475605
2017-2018,benchmark_return_tail,bottom_decile,5,51,-0.018047480789484732,-0.02620984541668043,-0.008162364627195702,-2.056915886053317,0.3681859795045154,0.5052475669586786,0.13706158745416314
2017-2018,benchmark_return_tail,bottom_decile,6,51,-0.012049825264842676,-0.012617129456431928,-0.0005673041915892512,-0.14296065628049132,0.2829665858036011,0.29089132901766485,0.007924743214063723
2017-2018,benchmark_return_tail,bottom_decile,7,51,-0.01555442040802132,-0.015556067088540633,-1.6466805193119195e-06,-0.00041496349086660373,0.2987536656255792,0.31214072056487757,0.01338705493929837
2017-2018,benchmark_return_tail,bottom_decile,8,51,-0.018203236002827694,-0.01899045178768768,-0.0007872157848599882,-0.198378377784717,0.3337411862068726,0.3561954856680412,0.022454299461168614
2017-2018,benchmark_return_tail,bottom_decile,9,51,-0.02309658020387441,-0.025666672246404794,-0.002570092042530383,-0.6476631947176564,0.42452596167508455,0.4822992869107016,0.05777332523561707
2017-2018,benchmark_return_tail,middle_80pct,0,399,0.001049018867544757,0.0010341608538144852,-1.4858013730271888e-05,-0.0037442194600285157,0.05291703155546228,0.04920342816495966,-0.003713603390502619
2017-2018,benchmark_return_tail,middle_80pct,1,399,0.00042219653115070367,0.0004029257063302687,-1.9270824820435107e-05,-0.004856247854749647,0.03837482534629506,0.05544599963025657,0.01707117428396151
2017-2018,benchmark_return_tail,middle_80pct,2,399,0.0008568192993771548,0.0009532779994698619,9.645870009270697e-05,0.024307592423362157,0.04717934023960371,0.049667658414497766,0.002488318174894054
2017-2018,benchmark_return_tail,middle_80pct,3,399,0.0006290925308127848,0.0006943515178430027,6.525898703021809e-05,0.016445264731614957,0.05303064713291784,0.0545116543734493,0.0014810072405314623
2017-2018,benchmark_return_tail,middle_80pct,4,399,0.001118193070218841,0.0009264394603054193,-0.00019175360991342192,-0.04832190969818233,0.06000388265372696,0.05027635817682184,-0.00972752447690512
2017-2018,benchmark_return_tail,middle_80pct,5,399,0.0007263419722486226,0.001239513201582621,0.0005131712293339989,0.12931914979216774,0.07474228772353832,0.1010135370503727,0.02627124932683439
2017-2018,benchmark_return_tail,middle_80pct,6,399,0.0008026898240231633,0.0008236404188786795,2.0950594855516022e-05,0.0052795499035900376,0.06868517045317003,0.07043087599940812,0.0017457055462380827
2017-2018,benchmark_return_tail,middle_80pct,7,399,0.000888989943174659,0.0009016273087991687,1.263736562450958e-05,0.0031846161373764144,0.05778303449584837,0.04959938525469533,-0.008183649241153043
2017-2018,benchmark_return_tail,middle_80pct,8,399,0.001028614797255779,0.001016996899019682,-1.1617898236096469e-05,-0.00292771035549631,0.05134561442821094,0.06422761892860882,0.012882004500397878
2017-2018,benchmark_return_tail,middle_80pct,9,399,0.0012279543646456818,0.0014525893239739286,0.00022463495932824665,0.056608009750718155,0.09167611635508069,0.1066797677655091,0.015003651410428406
2017-2018,benchmark_return_tail,top_decile,0,51,0.013974320631962332,0.013378272305889635,-0.000596048326072694,-0.1502041781703189,0.0,0.0,0.0
2017-2018,benchmark_return_tail,top_decile,1,51,0.010773613245546656,0.012753125251396945,0.0019795120058502917,0.4988370254742735,0.00297133856927831,0.01262243724589889,0.00965109867662058
2017-2018,benchmark_return_tail,top_decile,2,51,0.012158289198391398,0.013193036792297056,0.0010347475939056587,0.260756393664226,0.00023351586573488035,0.0,-0.00023351586573488035
2017-2018,benchmark_return_tail,top_decile,3,51,0.01188322489230316,0.010745961397550402,-0.0011372634947527584,-0.28659040067769515,0.0164872847968809,0.014908424920423567,-0.0015788598764573322
2017-2018,benchmark_return_tail,top_decile,4,51,0.016119338609258762,0.011393946973008757,-0.0047253916362500065,-1.1907986923350016,0.0015962466961926755,0.007863805633221253,0.0062675589370285775
2017-2018,benchmark_return_tail,top_decile,5,51,0.01411624231041933,0.023918319453106778,0.009802077142687446,2.4701234399572365,0.0005461596150540466,0.0022812134316356632,0.0017350538165816166
2017-2018,benchmark_return_tail,top_decile,6,51,0.009879928933470778,0.010555918163551574,0.0006759892300807982,0.17034928598036114,0.015912182571001805,0.014181611762927765,-0.0017305708080740407
2017-2018,benchmark_return_tail,top_decile,7,51,0.013149500658448799,0.013235017705140314,8.551704669151776e-05,0.021550295766262474,0.0031098147073156434,0.00507943636214437,0.0019696216548287264
2017-2018,benchmark_return_tail,top_decile,8,51,0.014689811978190142,0.016987772342846177,0.0022979603646560353,0.5790860118933209,0.0,0.009800187112627055,0.009800187112627055
2017-2018,benchmark_return_tail,top_decile,9,51,0.02037184744597746,0.022371028020506837,0.0019991805745293756,0.5037935047814026,0.009799588595262759,0.009813351366750392,1.3762771487632955e-05
2019-2020,benchmark_direction,negative,0,210,-0.008266237155972545,-0.008193179889744145,7.305726622840217e-05,0.01841043108955735,0.27417977605238925,0.2531683349952971,-0.02101144105709213
2019-2020,benchmark_direction,negative,1,210,-0.00853968136436877,-0.009462672626639896,-0.000922991262271126,-0.23259379809232375,0.25680220630446043,0.2845353080165738,0.02773310171211335
2019-2020,benchmark_direction,negative,2,210,-0.011251057958837813,-0.011476152847025415,-0.0002250948881875998,-0.05672391182327515,0.31095506485249896,0.3306423510396198,0.019687286187120845
2019-2020,benchmark_direction,negative,3,210,-0.007963981533121188,-0.009777244663404608,-0.001813263130283421,-0.4569423088314221,0.24519369561543625,0.2878632526124108,0.042669556996974556
2019-2020,benchmark_direction,negative,4,210,-0.011028505423487654,-0.01108068484033871,-5.217941685105891e-05,-0.013149213046466846,0.2945563520776819,0.3202192900971259,0.025662938019444026
2019-2020,benchmark_direction,negative,5,210,-0.008909065821031407,-0.009568861874664731,-0.0006597960536333261,-0.1662686055155982,0.2946625402733467,0.29109131340633093,-0.0035712268670157754
2019-2020,benchmark_direction,negative,6,210,-0.010380728461700127,-0.009650643800228021,0.0007300846614721059,0.1839813346909707,0.2925129668335416,0.27550032611486447,-0.01701264071867714
2019-2020,benchmark_direction,negative,7,210,-0.00957075515114456,-0.009444423907350832,0.00012633124379372992,0.03183547343601994,0.2772923131215363,0.27228916201104286,-0.005003151110493431
2019-2020,benchmark_direction,negative,8,210,-0.007832470389345219,-0.006936287389164009,0.0008961830001812093,0.22583811604566473,0.23923517608521952,0.2316111613475578,-0.007624014737661722
2019-2020,benchmark_direction,negative,9,210,-0.011203748723693573,-0.009577969151730325,0.00162577957196325,0.409696452134739,0.31738457617232985,0.26610318290074964,-0.05128139327158021
2019-2020,benchmark_direction,nonnegative,0,295,0.00700748376774173,0.0071123727463385175,0.000104888978596786,0.026432022606390073,0.02173712450824401,0.014883831769107564,-0.006853292739136445
2019-2020,benchmark_direction,nonnegative,1,295,0.007692395993965663,0.008742276385489132,0.0010498803915234701,0.26456985866391447,0.026761376108802342,0.031347653507641376,0.004586277398839034
2019-2020,benchmark_direction,nonnegative,2,295,0.009824419630389472,0.01004200148193358,0.0002175818515441086,0.05483062658911537,0.06929752956554092,0.0889991401281952,0.01970161056265428
2019-2020,benchmark_direction,nonnegative,3,295,0.0074006310874551885,0.009059147054290553,0.0016585159668353658,0.4179460236425122,0.03225791053654402,0.029534920433666494,-0.002722990102877524
2019-2020,benchmark_direction,nonnegative,4,295,0.009322201239510091,0.009533597401406335,0.00021139616189624392,0.05327183279785347,0.021786264681262976,0.07171983208224421,0.04993356740098123
2019-2020,benchmark_direction,nonnegative,5,295,0.0070658293966321005,0.008303400760404051,0.0012375713637719499,0.31186798367053137,0.03391060746590638,0.02355048073737913,-0.01036012672852725
2019-2020,benchmark_direction,nonnegative,6,295,0.008710447734832935,0.008343429491110764,-0.00036701824372217026,-0.0924885974179869,0.026683263836934302,0.02772675456601566,0.0010434907290813589
2019-2020,benchmark_direction,nonnegative,7,295,0.008334135365207785,0.008617513811741707,0.0002833784465339196,0.07141136852654774,0.027033981246455945,0.01566803196650733,-0.011365949279948613
2019-2020,benchmark_direction,nonnegative,8,295,0.007613378602350272,0.0065747221951182,-0.0010386564072320723,-0.26174141462248224,0.03851417432594907,0.03805076590881168,-0.00046340841713739256
2019-2020,benchmark_direction,nonnegative,9,295,0.01000387119981843,0.008626227714268533,-0.0013776434855498967,-0.347166158358574,0.08016817308176225,0.026200957549396765,-0.053967215532365484
2019-2020,benchmark_volatility,low,0,243,0.0011042043686499432,0.0009829301559213207,-0.00012127421272862239,-0.030561101607612842,0.06368852028249046,0.060172657156334936,-0.0035158631261555245
2019-2020,benchmark_volatility,low,1,243,0.001212782354951554,0.0015643141642207843,0.0003515318092692302,0.08858601593584602,0.07323027452531979,0.07950020995818372,0.0062699354328639295
2019-2020,benchmark_volatility,low,2,243,0.0011378230055025126,0.0012210128588056193,8.318985330310644e-05,0.020963843032382825,0.14962770497902558,0.1727321857033796,0.023104480724354004
2019-2020,benchmark_volatility,low,3,243,0.0011708321261874825,0.0015502470423614959,0.0003794149161740135,0.0956125588758514,0.060452863763504026,0.07846179433809608,0.018008930574592054
2019-2020,benchmark_volatility,low,4,243,0.0009290808654624014,0.0011416286203305797,0.0002125477548681786,0.053562034226781005,0.11449595135602397,0.1595849572121559,0.04508900585613193
2019-2020,benchmark_volatility,low,5,243,0.0010494812533772197,0.0012728179127603342,0.000223336659383114,0.05628083816454473,0.07951090056010889,0.0869290109249023,0.007418110364793409
2019-2020,benchmark_volatility,low,6,243,0.0007422081236769423,0.0008766735814242433,0.00013446545774730093,0.033885295352319836,0.10326035976119899,0.09793676479367629,-0.005323594967522702
2019-2020,benchmark_volatility,low,7,243,0.0009901293672797016,0.0011706830343236395,0.00018055366704393736,0.045499524095072214,0.07857607579136595,0.07540934703613605,-0.0031667287552299
2019-2020,benchmark_volatility,low,8,243,0.0013674916949647472,0.0010912679921604772,-0.0002762237028042701,-0.06960837310667607,0.07816030456124112,0.06674357182223042,-0.011416732739010699
2019-2020,benchmark_volatility,low,9,243,0.0012723394208807586,0.0008700331272934399,-0.00040230629358731863,-0.1013811859840043,0.17086485050649203,0.08890914952481493,-0.0819557009816771
2019-2020,benchmark_volatility,high,0,243,0.0002584721799662103,0.0005641489558636072,0.00030567677589739696,0.07703054752614404,0.24795654798417616,0.22810768672087883,-0.019848861263297324
2019-2020,benchmark_volatility,high,1,243,0.0007574603028767326,0.0008801149142644246,0.00012265461138769187,0.03090896206969835,0.22909612432627854,0.2546164588303575,0.02552033450407895
2019-2020,benchmark_volatility,high,2,243,0.001049388533187238,0.0010391048587417315,-1.0283674445506494e-05,-0.0025914859602676364,0.2583797868632226,0.2721091410480784,0.013729354184855769
2019-2020,benchmark_volatility,high,3,243,0.000939736933987529,0.001004028353639728,6.429141965219918e-05,0.016201437752354192,0.22258409298704354,0.25787523494681486,0.035291141959771316
2019-2020,benchmark_volatility,high,4,243,0.0008656474283437639,0.0008607762894884423,-4.871138855321944e-06,-0.00122752699154113,0.2498378687425071,0.26334342146515527,0.013505552722648168
2019-2020,benchmark_volatility,high,5,243,-0.00017106836736523,0.0005397326943484175,0.0007108010617136475,0.17912186755183918,0.2647774851720941,0.25754585836192906,-0.007231626810165037
2019-2020,benchmark_volatility,high,6,243,0.0008705344275556784,0.0009171542009117548,4.661977335607648e-05,0.011748182885731272,0.25321433921490966,0.23853149569340154,-0.014682843521508115
2019-2020,benchmark_volatility,high,7,243,0.0008298301540961648,0.0011093949358859712,0.00027956478178980644,0.07045032501103123,0.2472231756354321,0.2421939165556011,-0.005029259079831011
2019-2020,benchmark_volatility,high,8,243,0.0011130054767615892,0.0009047128212522484,-0.0002082926555093406,-0.052489749188353835,0.2124703614327763,0.2089288814657453,-0.003541479967031025
2019-2020,benchmark_volatility,high,9,243,0.001202284869433953,0.0013274960721179761,0.0001252112026840232,0.03155322307637385,0.25619664479950294,0.2326238944021285,-0.023572750397374442
2019-2020,benchmark_drawdown,at_or_above_prior_peak,0,110,0.003956678992020595,0.004234365572816617,0.00027768658079602274,0.06997701836059773,0.015803223302167622,0.01170591630124551,-0.004097307000922113
2019-2020,benchmark_drawdown,at_or_above_prior_peak,1,110,0.0045585507391584365,0.005555442004876053,0.000996891265717618,0.25121659896083975,0.01530311244349661,0.01656058641835964,0.0012574739748630308
2019-2020,benchmark_drawdown,at_or_above_prior_peak,2,110,0.008272800130997241,0.00870515106310269,0.00043235093210544764,0.10895243489057281,0.034990102483910254,0.044298722419194136,0.009308619935283882
2019-2020,benchmark_drawdown,at_or_above_prior_peak,3,110,0.005192644097361164,0.006288479088326815,0.0010958349909656524,0.2761504177233444,0.00431591215457793,0.008827426428558844,0.004511514273980914
2019-2020,benchmark_drawdown,at_or_above_prior_peak,4,110,0.0067991857066344585,0.007694327909083973,0.0008951422024495148,0.2255758350172777,0.01809997123410454,0.04270229445241131,0.02460232321830677
2019-2020,benchmark_drawdown,at_or_above_prior_peak,5,110,0.0041215344916461,0.005273850523447021,0.0011523160318009206,0.290383640013832,0.019991435693699114,0.012161699405680569,-0.007829736288018545
2019-2020,benchmark_drawdown,at_or_above_prior_peak,6,110,0.005844553729685275,0.00564940464382841,-0.0001951490858568631,-0.0491775696359295,0.02930619967642203,0.030401679346656187,0.0010954796702341563
2019-2020,benchmark_drawdown,at_or_above_prior_peak,7,110,0.005367068295979234,0.0055292878494017355,0.00016221955342250128,0.040879327462470326,0.010311044506221013,0.008703065511579062,-0.0016079789946419516
