window,year,seed,metric,ann,mps,mps_minus_ann
2019-2020,2020,0,annualized_turnover,0.0680142047002703,0.0745449110359529,0.006530706335682604
2019-2020,2020,0,total_cost,76.27839064216613,87.78378545379638,11.505394811630254
2019-2020,2019,1,period_return,0.2737824791760719,0.3195106410256421,0.04572816184957018
2019-2020,2019,1,sharpe,2.2678555046138174,2.4971585768277293,0.229303072213912
2019-2020,2019,1,max_drawdown,-0.0602762118791228,-0.0588269984747614,0.0014492134043613963
2019-2020,2019,1,annualized_turnover,1.012180235994522,1.1204837410152677,0.1083035050207457
2019-2020,2019,1,total_cost,1031.6320185422896,1151.0049609165192,119.37294237422952
2019-2020,2020,1,period_return,0.1891059910228807,0.270234793598721,0.08112880257584029
2019-2020,2020,1,sharpe,0.6859691996291156,0.8269641518698162,0.14099495224070058
2019-2020,2020,1,max_drawdown,-0.2198533900191662,-0.221948469886029,-0.0020950798668628035
2019-2020,2020,1,annualized_turnover,0.0507389261368363,0.4863935926118448,0.4356546664750085
2019-2020,2020,1,total_cost,62.662785123825074,669.2303229846955,606.5675378608704
2019-2020,2019,2,period_return,0.0405375213646788,0.0077939483501601,-0.032743573014518704
2019-2020,2019,2,sharpe,0.2980676436351616,0.147976394622183,-0.15009124901297857
2019-2020,2019,2,max_drawdown,-0.2186887897529705,-0.2496356641829946,-0.030946874430024085
2019-2020,2019,2,annualized_turnover,0.979936417325876,1.022782427450157,0.04284601012428091
2019-2020,2019,2,total_cost,1002.7007315251828,1046.3051572172642,43.60442569208135
2019-2020,2020,2,period_return,0.5034242447842177,0.5531220056350334,0.049697760850815786
2019-2020,2020,2,sharpe,1.294079926701571,1.3097806172989337,0.015700690597362676
2019-2020,2020,2,max_drawdown,-0.2388696664725921,-0.2379436936502648,0.0009259728223273145
2019-2020,2020,2,annualized_turnover,0.0,0.0486693353638682,0.0486693353638682
2019-2020,2020,2,total_cost,0.0,65.31964779376983,65.31964779376983
2019-2020,2019,3,period_return,0.1791411519890011,0.2972893351141275,0.11814818312512637
2019-2020,2019,3,sharpe,2.438343567399155,2.462156332417253,0.023812765018098148
2019-2020,2019,3,max_drawdown,-0.0481659456050609,-0.055486057973123,-0.007320112368062098
2019-2020,2019,3,annualized_turnover,1.5624766170317177,1.9728081614755144,0.4103315444437967
2019-2020,2019,3,total_cost,1630.4955606303215,2071.5971397099493,441.10157907962775
