condition,seed,year,observations,period_return,annualized_volatility,sharpe,max_drawdown,positive_day_frequency,gross_traded_notional,total_cost,cumulative_turnover,annualized_turnover
QINN-MPS signal,2,2017,251,0.17759896020630683,0.08149355737550423,2.0552774738094164,-0.03762691049154521,0.6095617529880478,999393.0599341393,999.3930599341393,0.9902710006031955,0.9942163033944432
QINN-MPS signal,2,2018,250,0.048043465963408805,0.18699664830632948,0.3465586539540769,-0.22357837610806186,0.588,18949.14661717415,18.94914661717415,0.01569250682877338,0.015818046883403568
QINN-MPS signal,3,2017,251,0.16990450889914,0.06232294254974087,2.559711598742081,-0.01898986687475912,0.5816733067729084,1021727.2947537899,1021.7272947537899,0.9846136865257031,0.9885364502170407
QINN-MPS signal,3,2018,250,-0.0848428740919881,0.18804223210837578,-0.38113715566116885,-0.24310840219932883,0.536,3667.6836473941803,3.667683647394181,0.0031173074367090497,0.003142245896202722
QINN-MPS signal,4,2017,251,0.18578986312171253,0.06936782130952807,2.50174800680757,-0.04446222605671157,0.5896414342629482,1146565.0537362099,1146.5650537362098,1.1135582852891566,1.1179947724815436
QINN-MPS signal,4,2018,250,0.020652213457622137,0.1902509642234261,0.20368998552894987,-0.214711141088874,0.576,632609.1942176819,632.6091942176819,0.4955704377115277,0.4995350012132199
QINN-MPS signal,5,2017,251,0.07903529359906591,0.08822499908446747,0.9096807459154324,-0.056005030414161716,0.5737051792828686,1047863.4043388367,1047.8634043388367,1.0033337272764573,1.0073310728034552
QINN-MPS signal,5,2018,250,0.2606077529596347,0.3652001517451506,0.8218559496588771,-0.34797596957285726,0.524,99717.08316707611,99.71708316707613,0.07124185300645351,0.07181178783050514
QINN-MPS signal,6,2017,251,0.17558203478281031,0.10555400781103967,1.5919908781233676,-0.09651482130604105,0.5816733067729084,1008279.155330658,1008.2791553306581,0.9967524296281304,1.0007235548457722
QINN-MPS signal,6,2018,250,0.040544299126838323,0.1814740357045738,0.3118113030918977,-0.1997046043017784,0.556,30724.27314376831,30.72427314376831,0.025285463704857472,0.025487747414496335
QINN-MPS signal,7,2017,251,0.08539594470544953,0.06211228030366851,1.355708939305473,-0.05885227675463678,0.5816733067729084,1074538.191356659,1074.538191356659,1.0585621533886864,1.0627795324858524
QINN-MPS signal,7,2018,250,0.1468519075249255,0.20307129099111493,0.7818130507809669,-0.18136769810925846,0.58,43570.4917550087,43.570491755008696,0.038521896477475344,0.038830071649295146
QINN-MPS signal,8,2017,251,0.1662735511224298,0.09740773110911315,1.634326021918567,-0.05537590185409036,0.5617529880478087,1032275.2859535217,1032.2752859535217,1.0136135308870735,1.0176518318069423
QINN-MPS signal,8,2018,250,0.12502761274262775,0.2345219037510832,0.6235728770942934,-0.22559843687953995,0.56,7785.371612548828,7.785371612548828,0.005657203719592061,0.005702461349348798
QINN-MPS signal,9,2017,251,0.21577547941675213,0.13081528385608426,1.5647776108537266,-0.06881706603283166,0.5657370517928287,1085215.3435697556,1085.2153435697558,1.0472258501109397,1.0513980646532144
QINN-MPS signal,9,2018,250,0.15947379624593827,0.34699941276132157,0.6031183474131595,-0.35745270301836596,0.508,558495.0531816483,558.4950531816482,0.3418737950815762,0.34460878544222884
