horizon_years,end_year,start_date,end_date,condition,seed,observations,trading_steps,total_return,annual_return,annual_volatility,sharpe,max_drawdown,gross_traded_notional,cumulative_turnover,annualized_turnover,total_cost
3,2021,2019-01-02,2021-12-31,ANN signal,2,757,756,1.0953690745494233,0.27963716004441563,0.25888156692322195,1.0809746390566213,-0.256626589225476,1642136.168014288,1.4491611418415973,0.4830537139471991,1642.136168014288
3,2021,2019-01-02,2021-12-31,ANN signal,3,757,756,1.226878418803874,0.30586666423362874,0.22346176346166363,1.30547583857493,-0.2497332972748939,1519589.1593074799,1.4347243388293507,0.47824144627645027,1519.58915930748
3,2021,2019-01-02,2021-12-31,ANN signal,4,757,756,0.80465004564178,0.21748699900901403,0.25185770763049475,0.906894026276557,-0.22822560325055086,2016708.4399461746,1.886536948987623,0.628845649662541,2016.7084399461748
3,2021,2019-01-02,2021-12-31,ANN signal,5,757,756,0.6728156638544736,0.18708740046844885,0.234032297528715,0.8486155829903677,-0.22956372116551516,1080213.4498403072,1.072010829016286,0.3573369430054287,1080.2134498403072
3,2021,2019-01-02,2021-12-31,ANN signal,6,757,756,1.6682670942094928,0.3869999118413663,0.2134336287206157,1.6378256522507035,-0.16576508865159723,1121877.9069776535,1.0645267956665976,0.3548422652221992,1121.8779069776535
3,2021,2019-01-02,2021-12-31,ANN signal,7,757,756,1.1232168228409027,0.28528108288178955,0.27464409499608866,1.0507036421322213,-0.2401336939791967,1882032.2251574993,1.7583271756224725,0.5861090585408242,1882.0322251574992
3,2021,2019-01-02,2021-12-31,ANN signal,8,757,756,0.8671330594124784,0.23137903790707104,0.1943844112234051,1.1667440004838523,-0.17968776247850637,1099081.004382372,1.0712703379092494,0.3570901126364165,1099.0810043823717
3,2021,2019-01-02,2021-12-31,ANN signal,9,757,756,1.7245100379590248,0.3966775018471709,0.2151182152749355,1.6588918016168996,-0.16511361061799945,1265665.1235351562,1.169397608737396,0.38979920291246534,1265.6651235351562
3,2021,2019-01-02,2021-12-31,Base FinRL,0,757,756,0.8308679699929886,0.22335455213447597,0.3175903419747099,0.7924515579289502,-0.25608686203365105,1502489.1983327866,1.4327819528462529,0.4775939842820843,1502.4891983327866
3,2021,2019-01-02,2021-12-31,Base FinRL,1,757,756,1.3649748521861853,0.3323209051101965,0.26813427781940746,1.2037371982177905,-0.3091731351035547,1593805.1948719025,1.456493399774225,0.4854977999247417,1593.8051948719026
3,2021,2019-01-02,2021-12-31,Base FinRL,2,757,756,1.1686144658282593,0.29437698864237416,0.2261390767694509,1.2532748311610014,-0.1989469689769735,1066898.9869761467,1.0410055502631321,0.34700185008771073,1066.8989869761465
3,2021,2019-01-02,2021-12-31,Base FinRL,3,757,756,0.8700330265924732,0.23201622006681633,0.21652480852860637,1.071493007379688,-0.24808849040485625,1044769.8571872711,1.0110373690509133,0.33701245635030447,1044.7698571872713
3,2021,2019-01-02,2021-12-31,Base FinRL,4,757,756,0.7815344157148292,0.21226641125211554,0.28500253341941895,0.8171246358587549,-0.22120486085482016,1014538.3476319313,0.9919628340031074,0.3306542780010358,1014.5383476319313
3,2021,2019-01-02,2021-12-31,Base FinRL,5,757,756,0.4693345532492941,0.13685976694822855,0.22223121325158232,0.6874145177100562,-0.1831058343405113,1013421.0854225159,1.0069799054185584,0.33565996847285284,1013.4210854225158
3,2021,2019-01-02,2021-12-31,Base FinRL,6,757,756,1.142012530204505,0.2890625824287747,0.263437578807855,1.0950365086044056,-0.28467737377443025,2499565.454750538,2.220963914351155,0.7403213047837184,2499.565454750538
3,2021,2019-01-02,2021-12-31,Base FinRL,7,757,756,1.055366416017912,0.27144160517965554,0.2397055064839983,1.1207684721211393,-0.1961399259313984,1247659.1487903595,1.1843332232223196,0.3947777410741065,1247.6591487903597
3,2021,2019-01-02,2021-12-31,Base FinRL,8,757,756,0.8304930590639721,0.22327104341822235,0.2921535233472898,0.8351669175209546,-0.22786194355771694,1003096.9380722046,0.9806088361763032,0.32686961205876774,1003.0969380722047
3,2021,2019-01-02,2021-12-31,Base FinRL,9,757,756,1.2643384821508654,0.3131483202412493,0.2022299382212889,1.4465551731296789,-0.14766865459542677,1092632.5475444794,1.0400684397038495,0.3466894799012832,1092.6325475444796
3,2021,2019-01-02,2021-12-31,QINN-MPS signal,0,757,756,0.8813242434653188,0.2344908747298804,0.2744690781524658,0.904289050212321,-0.2576323579569708,1222175.2892580032,1.1911584926374552,0.3970528308791517,1222.1752892580034
3,2021,2019-01-02,2021-12-31,QINN-MPS signal,1,757,756,0.8339141945900015,0.22403265452444554,0.23343244826065687,0.9823164905522641,-0.2614973162878599,1000124.6753635406,0.9924216473982709,0.3308072157994236,1000.1246753635409
